UTS,YS,C,Mn,Si,S,P,Cr,Ni,Mo
572.1,295.3,0.048,1.012,1.251,0.01,0.04,18.47,8.174,0.282
535.6,298.6,0.054,1.008,1.231,0.01,0.04,18.482,8.267,0.228
539.1,295.1,0.054,1.066,1.265,0.01,0.04,18.417,8.207,0.21
539.1,295.1,0.054,1.066,1.265,0.01,0.04,18.417,8.207,0.21
539.1,295.1,0.054,1.066,1.265,0.01,0.04,18.417,8.207,0.21
547.6,277.6,0.048,1.057,1.218,0.01,0.04,18.413,8.185,0.194
547.6,277.6,0.048,1.057,1.218,0.01,0.04,18.413,8.185,0.194
528.4,289.1,0.054,1.063,1.179,0.01,0.04,18.383,8.253,0.204
528.4,289.1,0.054,1.063,1.179,0.01,0.04,18.383,8.253,0.204
578.6,290.5,0.052,1.052,1.249,0.01,0.04,18.311,8.238,0.206
578.6,290.5,0.052,1.052,1.249,0.01,0.04,18.311,8.238,0.206
580.1,298.6,0.049,1.068,1.249,0.01,0.04,18.278,8.129,0.211
580.1,298.6,0.049,1.068,1.249,0.01,0.04,18.278,8.129,0.211
570.5,260.1,0.052,0.987,1.171,0.01,0.04,18.346,8.24,0.218
570.5,260.1,0.052,0.987,1.171,0.01,0.04,18.346,8.24,0.218
568.4,268.9,0.049,1.091,1.222,0.01,0.04,18.172,8.063,0.188
568.4,268.9,0.049,1.091,1.222,0.01,0.04,18.172,8.063,0.188
506.1,269.4,0.051,1.05,1.237,0.01,0.04,18.356,8.132,0.202
510.5,270.5,0.052,1.083,1.237,0.01,0.04,18.192,8.115,0.256
536.8,288.9,0.051,0.951,1.292,0.01,0.04,18.334,8.236,0.185
536.8,288.9,0.051,0.951,1.292,0.01,0.04,18.334,8.236,0.185
549.3,290.4,0.05,0.976,1.12,0.01,0.04,18.289,8.23,0.197
549.3,290.4,0.05,0.976,1.12,0.01,0.04,18.289,8.23,0.197
549.3,290.4,0.05,0.976,1.12,0.01,0.04,18.289,8.23,0.197
526.7,283.8,0.046,0.899,1.22,0.01,0.04,18.287,8.457,0.241
532.8,295.5,0.049,0.981,1.198,0.01,0.04,18.267,8.23,0.222
548.6,295.1,0.046,1.048,1.265,0.01,0.04,18.249,8.16,0.19
548.6,295.1,0.046,1.048,1.265,0.01,0.04,18.249,8.16,0.19
568.9,269.8,0.051,1.037,1.207,0.01,0.04,18.295,8.133,0.233
568.9,269.8,0.051,1.037,1.207,0.01,0.04,18.295,8.133,0.233
545.9,280.5,0.051,1.061,1.256,0.01,0.04,18.354,8.204,0.212
545.9,280.5,0.051,1.061,1.256,0.01,0.04,18.354,8.204,0.212
525.8,290.4,0.052,0.967,1.19,0.01,0.04,18.476,8.153,0.245
528.7,298.8,0.054,0.963,1.165,0.01,0.04,18.421,8.325,0.25
528.7,298.8,0.054,0.963,1.165,0.01,0.04,18.421,8.325,0.25
570.5,258.9,0.055,1.015,1.23,0.01,0.04,18.36,8.227,0.303
570.5,258.9,0.055,1.015,1.23,0.01,0.04,18.36,8.227,0.303
575.8,305.1,0.052,0.947,1.274,0.01,0.04,18.407,8.106,0.253
560.5,293.6,0.052,0.903,1.246,0.01,0.04,18.331,8.235,0.25
560.5,293.6,0.052,0.903,1.246,0.01,0.04,18.331,8.235,0.25
573.4,290.4,0.052,0.873,1.366,0.01,0.04,18.257,8.137,0.252
533.6,258.9,0.049,0.956,1.235,0.01,0.04,18.358,8.102,0.28
545.6,299.5,0.05,0.952,1.199,0.01,0.04,18.447,8.329,0.225
545.6,299.5,0.05,0.952,1.199,0.01,0.04,18.447,8.329,0.225
580.1,280.5,0.054,1.01,1.187,0.01,0.04,18.489,8.113,0.239
580.1,280.5,0.054,1.01,1.187,0.01,0.04,18.489,8.113,0.239
583.3,285.9,0.058,0.972,1.232,0.01,0.04,18.386,8.065,0.223
588.4,286.8,0.055,0.952,1.179,0.01,0.04,18.366,8.187,0.237
535.9,296.4,0.051,0.973,1.164,0.01,0.04,18.491,8.28,0.273
535.9,296.4,0.051,0.973,1.164,0.01,0.04,18.491,8.28,0.273
548.6,290.1,0.053,0.937,1.221,0.01,0.04,18.439,8.266,0.222
548.6,290.1,0.053,0.937,1.221,0.01,0.04,18.439,8.266,0.222
